loja,valor,clientes
Renner,495641.8,1164
Vivara,444085.09,141
Havan,335677.11,762
Cvc Viagens,263555.49,29
Riachuelo,213376.12,618
Centauro,204263.71000000002,489
Brooksfield,187955.44,127
Idéli.Oui,177410.19,180
Cia do Homem,176439.43,216
Le Lis ,171239.91999999998,103
Shoulder,169501.29,152
Luz da Lua,166375.88999999998,149
Life by Vivara,154101.82,172
Hering Store,128967.62000000001,277
Maze,128892.55,118
Livrarias Catarinense,124816.33,824
Baier Joalheria,120044.93000000001,37
Track & Field,119010.48,171
Anjos Colchões & Sofás,112305.01,12
Vivo,101737.05,18
