segmento,valor,clientes
Moda,7219295.7700000005,10302
Telefonia,1534392.48,407
Calçados,1479503.91,4183
Joalheria,1252196.44,811
Gastronomia,1045983.84,6008
Esportes,1027337.03,2809
Ótica,942573.51,729
Beleza e Bem-estar,905663.38,3229
Eletrodomésticos,799941.42,1453
Infantil,583591.56,1830
Casa e Decoração,402896.48,761
Moda Feminina,379620.27,607
Não informado,345960.04,730
Eletrônicos,273800.78,178
Presentes e Acessórios,257735.22,934
Livrarias,246429.98,1494
Vestuário feminino,175514.11,276
Papelaria,158159.68,1053
Farmácias,121083.69,1024
Pets,87348.5,540
