loja,valor,clientes
Renner,1132383.19,3023
Nike Unite,867323.6,1768
Vivara,797536.67,291
Centauro,622653.37,1620
C&A,615622.71,1860
Vivo,575283.0,113
Riachuelo,550487.98,1764
Magazine Luiza,498754.62,200
Empório Du Homem,453860.37,586
Decathlon,404562.7,1356
Ri Happy Baby,401620.4,1376
Claro,388383.84,100
Óticas Carol,318821.76,172
iPlace Mobile,314050.87,98
Carioca Calçados,271420.3,764
Brooksfield,267969.26,210
Hering Store,267860.63,753
IDELI.OUI,259433.13,414
Arezzo,256244.44999999998,510
Livrarias Catarinense,246429.98,1494
