loja,valor,clientes
Renner,2299312.92,4812
Vivara,1804858.43,717
Havan,1460262.33,3527
Centauro,1124484.6300000001,2604
Cvc Viagens,957562.92,71
Riachuelo,933156.89,2809
Shoulder,920087.83,763
Idéli.Oui,874119.05,896
Cia do Homem,848734.1,1063
Brooksfield,723675.6,486
Le Lis ,701596.63,370
Ri Happy,687526.8200000001,1966
Hering Store,681264.35,1789
Livrarias Catarinense,656309.05,3312
iPlace Mobile,627986.23,221
Maze,588302.96,529
Life by Vivara,579386.97,800
Track & Field,552673.25,649
TIM,538597.5,144
Victor Hugo,532755.65,179
