segmento,valor,clientes
Moda,10573118.11,11908
Joalheria,3587283.7,2003
Beleza e Bem-estar,2860776.56,6441
Calçados,2208881.52,4754
Gastronomia,2121160.91,7175
Casa e Decoração,2095406.53,4930
Ótica,1551719.38,1014
Telefonia,1466478.45,409
Esportes,1372201.75,3217
Presentes e Acessórios,1323458.61,2305
Eletrônicos,1267641.75,762
Moda Feminina,1238029.25,1082
Serviços,1015687.52,1695
Infantil,753943.67,2139
Livrarias,656309.05,3312
Eletrodomésticos,430651.97,2200
Papelaria,411166.09,2138
Farmácias,310247.77999999997,1544
Pets,289395.26,1046
Salão de Beleza | Barbearia,14703.02,58
