dia_semana,valor,transacoes
Domingo,5882603.65,20855
Quarta,3980292.83,12871
Quinta,4420385.17,14003
Sabado,6029230.21,20025
Segunda,5615382.05,18040
Sexta,4616678.27,14888
Terca,5015561.55,14948
