quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,4.0,1.0,170.86,Balneário Shopping
40%,9.0,2.0,403.16200000000003,Balneário Shopping
60%,14.0,3.0,768.686,Balneário Shopping
80%,22.0,5.400000000000034,1440.0020000000002,Balneário Shopping
20%,4.0,1.0,84.95,Continente Shopping
40%,6.0,2.0,210.38,Continente Shopping
60%,12.0,4.0,410.59,Continente Shopping
80%,20.0,7.0,800.3,Continente Shopping
20%,5.0,1.0,71.74000000000001,Nações Shopping
40%,10.0,2.0,178.00600000000006,Nações Shopping
60%,15.0,3.0,368.352,Nações Shopping
80%,20.600000000000023,4.0,627.876,Nações Shopping
20%,4.0,2.0,161.37,Neumarkt Shopping
40%,7.0,3.0,341.57,Neumarkt Shopping
60%,13.0,4.0,591.0,Neumarkt Shopping
80%,19.0,7.0,1088.8,Neumarkt Shopping
20%,5.0,1.0,99.99,Norte Shopping
40%,11.0,2.0,229.69,Norte Shopping
60%,15.0,3.0,444.96999999999997,Norte Shopping
80%,20.0,6.0,815.0,Norte Shopping
20%,4.0,1.0,118.116,Garten Shopping
40%,8.0,2.0,295.74600000000004,Garten Shopping
60%,14.0,3.0,539.934,Garten Shopping
80%,20.0,6.0,892.3760000000001,Garten Shopping
