shopping,perfil_historico,ranking,segmento,valor,pct_valor,cupons,clientes
Balneário Shopping,Premium,1,Moda,15541.81,48.77,46,32
Balneário Shopping,Premium,2,Beleza e Bem-estar,3710.5899999999997,11.64,18,13
Balneário Shopping,Premium,3,Gastronomia,3589.9,11.26,44,18
Balneário Shopping,Premium,4,Papelaria,1902.7800000000002,5.97,9,6
Balneário Shopping,Premium,5,Esportes,1747.22,5.48,7,6
Balneário Shopping,Premium,6,Infantil,1373.76,4.31,5,5
Balneário Shopping,Premium,7,Casa e Decoração,1242.9,3.9,8,6
Balneário Shopping,Premium,8,Presentes e Acessórios,1166.4699999999998,3.66,5,5
Balneário Shopping,Premium,9,Joalheria,891.45,2.8,2,2
Balneário Shopping,Premium,10,Livrarias,702.5,2.2,6,6
Balneário Shopping,VIP,1,Moda,173153.95,40.22,433,230
Balneário Shopping,VIP,2,Joalheria,59557.06,13.84,37,32
Balneário Shopping,VIP,3,Beleza e Bem-estar,50139.79,11.65,179,123
Balneário Shopping,VIP,4,Gastronomia,31982.93,7.43,325,152
Balneário Shopping,VIP,5,Casa e Decoração,25324.98,5.88,54,35
Balneário Shopping,VIP,6,Infantil,23823.51,5.53,107,76
Balneário Shopping,VIP,7,Calçados,22344.96,5.19,41,33
Balneário Shopping,VIP,8,Presentes e Acessórios,15615.99,3.63,70,57
Balneário Shopping,VIP,9,Moda Feminina,15322.699999999999,3.56,18,17
Balneário Shopping,VIP,10,Eletrônicos,13207.9,3.07,6,5
Continente Shopping,Premium,1,Moda,18273.46,44.4,74,45
Continente Shopping,Premium,2,Gastronomia,6043.94,14.69,134,57
Continente Shopping,Premium,3,Esportes,5755.29,13.99,23,16
Continente Shopping,Premium,4,Calçados,3756.61,9.13,18,16
Continente Shopping,Premium,5,Beleza e Bem-estar,1611.2,3.92,23,19
Continente Shopping,Premium,6,Papelaria,1336.6,3.25,15,12
Continente Shopping,Premium,7,Eletrodomésticos,1298.06,3.15,30,20
Continente Shopping,Premium,8,Presentes e Acessórios,1240.5,3.01,5,4
Continente Shopping,Premium,9,Ótica,1214.0,2.95,1,1
Continente Shopping,Premium,10,Farmácias,622.97,1.51,11,11
Continente Shopping,VIP,1,Moda,90277.28,31.65,348,203
Continente Shopping,VIP,2,Farmácias,56392.04,19.77,111,81
Continente Shopping,VIP,3,Gastronomia,52581.43,18.43,1007,286
Continente Shopping,VIP,4,Calçados,20678.2,7.25,80,68
Continente Shopping,VIP,5,Beleza e Bem-estar,15496.06,5.43,151,97
Continente Shopping,VIP,6,Eletrônicos,12211.0,4.28,17,4
Continente Shopping,VIP,7,Esportes,10204.27,3.58,63,50
Continente Shopping,VIP,8,Presentes e Acessórios,9451.87,3.31,24,20
Continente Shopping,VIP,9,Infantil,9155.85,3.21,57,40
Continente Shopping,VIP,10,Papelaria,8829.31,3.09,87,67
Garten Shopping,Premium,1,Moda,15838.41,43.48,60,35
Garten Shopping,Premium,2,Casa e Decoração,5617.65,15.42,7,6
Garten Shopping,Premium,3,Gastronomia,3431.17,9.42,71,35
Garten Shopping,Premium,4,Esportes,2422.81,6.65,5,4
Garten Shopping,Premium,5,Ótica,1974.66,5.42,1,1
Garten Shopping,Premium,6,Joalheria,1933.0,5.31,2,2
Garten Shopping,Premium,7,Papelaria,1924.66,5.28,13,12
Garten Shopping,Premium,8,Beleza e Bem-estar,1568.83,4.31,8,8
Garten Shopping,Premium,9,Presentes e Acessórios,991.49,2.72,7,7
Garten Shopping,Premium,10,Moda Feminina,724.1,1.99,3,3
Garten Shopping,VIP,1,Moda,75756.14,38.05,294,154
Garten Shopping,VIP,2,Gastronomia,31295.03,15.72,581,186
Garten Shopping,VIP,3,Joalheria,14908.779999999999,7.49,12,10
Garten Shopping,VIP,4,Calçados,13146.27,6.6,49,44
Garten Shopping,VIP,5,Esportes,12583.22,6.32,34,31
Garten Shopping,VIP,6,Telefonia,11690.26,5.87,6,4
Garten Shopping,VIP,7,Casa e Decoração,11210.74,5.63,63,49
Garten Shopping,VIP,8,Papelaria,10621.880000000001,5.34,81,63
Garten Shopping,VIP,9,Presentes e Acessórios,9912.12,4.98,55,44
Garten Shopping,VIP,10,Beleza e Bem-estar,7946.84,3.99,48,36
Nações Shopping,Premium,1,Moda,7776.93,46.26,41,23
Nações Shopping,Premium,2,Esportes,1893.99,11.27,11,11
Nações Shopping,Premium,3,Gastronomia,1791.59,10.66,39,17
Nações Shopping,Premium,4,Beleza e Bem-estar,1334.91,7.94,7,7
Nações Shopping,Premium,5,Calçados,1289.94,7.67,6,6
Nações Shopping,Premium,6,Casa e Decoração,828.69,4.93,6,5
Nações Shopping,Premium,7,Infantil,764.98,4.55,5,4
Nações Shopping,Premium,8,Livrarias,443.75,2.64,6,4
Nações Shopping,Premium,9,Presentes e Acessórios,379.8,2.26,1,1
Nações Shopping,Premium,10,Eletrodomésticos,308.31,1.83,6,6
Nações Shopping,VIP,1,Moda,34540.97,45.95,130,71
Nações Shopping,VIP,2,Gastronomia,9454.43,12.58,223,75
Nações Shopping,VIP,3,Casa e Decoração,9016.82,11.99,27,22
Nações Shopping,VIP,4,Esportes,5171.28,6.88,16,16
Nações Shopping,VIP,5,Calçados,4913.94,6.54,23,20
Nações Shopping,VIP,6,Joalheria,2896.03,3.85,4,4
Nações Shopping,VIP,7,Beleza e Bem-estar,2764.59,3.68,24,20
Nações Shopping,VIP,8,Pets,2729.39,3.63,24,18
Nações Shopping,VIP,9,Livrarias,2068.43,2.75,23,14
Nações Shopping,VIP,10,Farmácias,1619.18,2.15,19,14
Neumarkt Shopping,Premium,1,Moda,6898.47,37.83,30,21
Neumarkt Shopping,Premium,2,Casa e Decoração,3316.65,18.19,16,13
Neumarkt Shopping,Premium,3,Gastronomia,3063.37,16.8,75,38
Neumarkt Shopping,Premium,4,Papelaria,1905.8,10.45,13,11
Neumarkt Shopping,Premium,5,Calçados,834.99,4.58,6,5
Neumarkt Shopping,Premium,6,Eletrodomésticos,630.02,3.46,17,12
Neumarkt Shopping,Premium,7,Beleza e Bem-estar,448.19,2.46,5,4
Neumarkt Shopping,Premium,8,Esportes,429.98,2.36,2,2
Neumarkt Shopping,Premium,9,Farmácias,365.33,2.0,3,2
Neumarkt Shopping,Premium,10,Livrarias,342.2,1.88,6,6
Neumarkt Shopping,VIP,1,Moda,99252.29,27.92,328,202
Neumarkt Shopping,VIP,2,Gastronomia,57092.22,16.06,896,270
Neumarkt Shopping,VIP,3,Eletrônicos,42793.54,12.04,19,13
Neumarkt Shopping,VIP,4,Beleza e Bem-estar,33716.41,9.49,170,119
Neumarkt Shopping,VIP,5,Moda Feminina,28140.62,7.92,28,23
Neumarkt Shopping,VIP,6,Casa e Decoração,26612.61,7.49,124,87
Neumarkt Shopping,VIP,7,Calçados,19808.87,5.57,62,53
Neumarkt Shopping,VIP,8,Esportes,19230.54,5.41,53,46
Neumarkt Shopping,VIP,9,Joalheria,17054.7,4.8,18,14
Neumarkt Shopping,VIP,10,Papelaria,11727.65,3.3,120,95
Norte Shopping,Premium,1,Moda,3792.73,24.69,19,14
Norte Shopping,Premium,2,Calçados,2248.45,14.64,10,8
Norte Shopping,Premium,3,Papelaria,1667.8,10.86,7,6
Norte Shopping,Premium,4,Casa e Decoração,1627.6000000000001,10.6,10,8
Norte Shopping,Premium,5,Beleza e Bem-estar,1492.3,9.71,11,8
