dia_semana,valor,transacoes
Domingo,432477.66000000003,1568
Quarta,136785.41,691
Quinta,219296.26,970
Sabado,296715.67,1388
Segunda,93093.67,583
Sexta,227277.52,1046
Terca,70350.38,460
