quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,2.0,2.0,175.8,Neumarkt Shopping
40%,5.0,3.0,399.882,Neumarkt Shopping
60%,9.0,5.0,748.2639999999999,Neumarkt Shopping
80%,17.0,8.0,1353.9400000000003,Neumarkt Shopping
20%,3.0,1.0,118.372,Nações Shopping
40%,6.0,2.0,305.652,Nações Shopping
60%,10.0,4.0,565.9820000000001,Nações Shopping
80%,18.0,6.0,1082.2359999999999,Nações Shopping
20%,2.0,1.0,129.93200000000002,Continente Shopping
40%,5.0,3.0,303.432,Continente Shopping
60%,10.0,4.0,564.824,Continente Shopping
80%,18.0,7.0,1061.1700000000003,Continente Shopping
20%,3.0,1.0,196.248,Balneário Shopping
40%,6.0,2.0,471.5860000000002,Balneário Shopping
60%,11.0,4.0,846.1819999999999,Balneário Shopping
80%,19.0,6.0,1660.5460000000012,Balneário Shopping
20%,2.0,1.0,136.924,Norte Shopping
40%,5.0,2.0,285.214,Norte Shopping
60%,9.0,4.0,541.3760000000001,Norte Shopping
80%,13.0,6.0,948.27,Norte Shopping
20%,3.0,1.0,155.03,Garten Shopping
40%,8.0,2.0,370.8,Garten Shopping
60%,14.0,4.0,624.26,Garten Shopping
80%,21.0,7.0,1147.6399999999999,Garten Shopping
