quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,2.0,1.0,149.99,Global
40%,5.0,2.0,352.94,Global
60%,11.0,4.0,657.78,Global
80%,18.0,7.0,1235.59,Global
