dia_semana,valor,transacoes
Domingo,17521774.27,61872
Quarta,10971348.21,37639
Quinta,11639823.19,38537
Sabado,17165769.71,58679
Segunda,14386191.22,46867
Sexta,12997547.57,42614
Terca,12865877.83,40503
