loja,valor,clientes
Renner,6099284.97,10429
Vivara,5243625.31,1640
Havan,4126067.29,8251
Centauro,3034999.97,6125
Riachuelo,2763922.46,6864
Cvc Viagens,2457017.64,173
Shoulder,2333553.85,1594
Idéli.Oui,2119252.84,1930
Le Lis ,2012848.14,820
Cia do Homem,1924500.32,2209
Livrarias Catarinense,1889598.01,7951
Brooksfield,1886819.13,1147
Hering Store,1751556.03,3987
Life by Vivara,1698133.31,1879
Ri Happy,1625889.46,3987
Track & Field,1582873.72,1586
Vivo,1418150.53,304
Maze,1369052.78,1190
Avatim,1343588.57,4724
Óticas Carol,1196043.57,654
