segmento,valor,clientes
Moda,377148.98,668
Gastronomia,206352.37,852
Calçados,99845.12,226
Beleza e Bem-estar,96311.39,368
Esportes,89939.90000000001,212
Casa e Decoração,87469.29,310
Joalheria,78359.85,58
Ótica,76171.77,27
Infantil,43257.79,147
Moda Feminina,40255.67,46
Farmácias,26850.12,203
Eletrodomésticos,25505.21,275
Livrarias,24037.97,191
Papelaria,23190.13,208
Presentes e Acessórios,20922.99,83
Pets,19556.97,118
Eletrônicos,18735.2,37
Telefonia,17554.97,12
Gastronomia - Restaurante,7687.12,28
Lazer,3349.0,41
