faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),28047.579999999998,79
Boomers (1946-1964),Noite (18h-22h),22522.16,104
Boomers (1946-1964),Tarde (12h-18h),24843.37,135
Gen X (1965-1980),Manha (6h-12h),88741.31,398
Gen X (1965-1980),Noite (18h-22h),213812.19,889
Gen X (1965-1980),Tarde (12h-18h),190124.61,992
Gen Z (1997-2012),Manha (6h-12h),34632.17,139
Gen Z (1997-2012),Noite (18h-22h),96086.1,489
Gen Z (1997-2012),Tarde (12h-18h),49169.43,311
Millennials (1981-1996),Manha (6h-12h),142622.81,706
Millennials (1981-1996),Noite (18h-22h),350390.22,1739
Millennials (1981-1996),Tarde (12h-18h),307047.7,1698
