faixa_etaria,segmento,valor,clientes,ranking
Millennials (1981-1996),Moda,283288.73,536,1
Millennials (1981-1996),Gastronomia,70019.05,509,2
Millennials (1981-1996),Calçados,51290.9,165,3
Millennials (1981-1996),Casa e Decoração,45986.74,134,4
Millennials (1981-1996),Beleza e Bem-estar,45053.53,216,5
Gen X (1965-1980),Moda,176332.59,279,1
Gen X (1965-1980),Gastronomia,41544.53,276,2
Gen X (1965-1980),Calçados,33981.49,68,3
Gen X (1965-1980),Beleza e Bem-estar,33777.45,116,4
Gen X (1965-1980),Casa e Decoração,32565.25,77,5
Gen Z (1997-2012),Moda,57472.3,129,1
Gen Z (1997-2012),Beleza e Bem-estar,20959.93,53,2
Gen Z (1997-2012),Calçados,19291.94,41,3
Gen Z (1997-2012),Gastronomia,12194.1,120,4
Gen Z (1997-2012),Casa e Decoração,9075.0,32,5
Boomers (1946-1964),Moda,23138.22,44,1
Boomers (1946-1964),Eletrônicos,12352.0,2,2
Boomers (1946-1964),Gastronomia,6749.75,41,3
Boomers (1946-1964),Moda Feminina,5205.97,6,4
Boomers (1946-1964),Joalheria,4726.1,5,5
