shopping,sigla,transacoes,clientes,valor_total,ticket_medio,idade_media,threshold_hs,qtd_high_spenders
Continente Shopping,CS,1897,485,323204.51,666.4010515463917,39.103092783505154,1389.8600000000001,49
Balneário Shopping,BS,1394,401,410783.05000000005,1024.396633416459,40.19950124688279,2522.6,41
Neumarkt Shopping,NK,1700,462,326365.87,706.4196320346321,42.31818181818182,1559.7710000000018,47
Norte Shopping,NR,564,181,112246.94,620.1488397790056,39.71823204419889,1193.0,19
Garten Shopping,GS,1474,428,254750.44,595.211308411215,39.73831775700935,1322.0350000000003,43
Nações Shopping,NS,650,200,120688.84,603.4442,37.472361809045225,1361.4639999999997,20
