Metrica,High Spenders,Demais Clientes
Qtd Clientes,16313.0,146810.0
Valor Total (R$),146124663.25,158979716.81
Ticket Medio (R$),8957.559201250537,1082.8943315169267
Freq Media Compras,20.140501440568872,3.993386009127444
Idade Media,42.37267296450081,40.588324363862576
% Feminino,67.03242812480843,62.81997139159458
% Masculino,32.90627107215104,36.968190177780805
