faixa_etaria,qtd_hs,valor_total,ticket_medio,pct_hs
16-24 (Gen Z),676,5268956.12,7794.3137869822485,4.143934285539141
25-39 (Millennials),5779,48831689.6,8449.851116110054,35.42573407711641
40-54 (Gen X),7336,67697359.24,9228.102404580151,44.970269110525344
55-69 (Boomers),2134,19959360.2,9353.027272727273,13.081591368846931
70+ (Silent),380,4239160.29,11155.68497368421,2.3294305155397534
Nao Informado,8,128137.79999999999,16017.224999999999,0.04904064243241587
