faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),8022,4460,2,33
25-39 (Millennials),42063,24297,7,75
40-54 (Gen X),38510,22461,1,26
55-69 (Boomers),12415,7120,1,9
70+ (Silent),2079,1259,1,2
Nao Informado,72,44,164,0
