faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),1261.4354188481675,1178.6059506726458,1195.75,1028.269393939394
25-39 (Millennials),1733.9766210208497,1627.5649117174958,692.1157142857144,1386.4913333333334
40-54 (Gen X),2242.597045702415,1917.007400828102,724.3,929.9342307692308
55-69 (Boomers),2094.495964559001,1926.3679592696628,364.89,857.3411111111111
70+ (Silent),2207.308908128908,2392.7453693407465,1009.49,452.41
Nao Informado,800.9004166666667,2839.203409090909,878.2393902439024,0.0
