sigla,faixa_etaria,qtd_clientes,pct_clientes,valor_total
BS,Gen X (1965-1980),9069,27.643490718444237,14899216.059999999
BS,Gen Z (1997-2012),5034,15.344286280366996,6382584.6899999995
BS,Millennials (1981-1996),16419,50.04724601457006,25918257.290000003
BS,Boomers (1946-1964),2197,6.696741549059652,3231050.1399999997
BS,Nao Informado,40,0.1219251988904807,35319.93
BS,Silent (antes 1946),48,0.14631023866857681,60235.95
CS,Millennials (1981-1996),21824,48.12772901689234,50881453.4
CS,Gen Z (1997-2012),7034,15.511842279363119,11347608.73
CS,Gen X (1965-1980),12351,27.237242535173994,32348536.92
CS,Boomers (1946-1964),3953,8.717417192255105,9025777.43
CS,Nao Informado,52,0.11467384113262472,43490.71000000001
CS,Silent (antes 1946),132,0.2910951351828166,245419.31
NK,Gen Z (1997-2012),4447,15.171260917030569,5250590.640000001
NK,Millennials (1981-1996),13252,45.210152838427945,24299842.630000003
NK,Gen X (1965-1980),8776,29.93995633187773,20037441.85
NK,Boomers (1946-1964),2720,9.27947598253275,6044382.7299999995
NK,Nao Informado,23,0.07846615720524017,25315.92
NK,Silent (antes 1946),94,0.3206877729257642,220574.60000000003
GS,Millennials (1981-1996),9253,49.50246094585919,11253585.93
GS,Gen Z (1997-2012),3350,17.9221057136743,3541835.29
GS,Gen X (1965-1980),5092,27.241600684784935,6716497.8100000005
GS,Boomers (1946-1964),958,5.125187245880591,1315147.83
GS,Nao Informado,19,0.10164776374919753,12894.130000000001
GS,Silent (antes 1946),20,0.10699764605178687,37024.8
NR,Gen X (1965-1980),9081,28.451922173136573,16706409.49
NR,Millennials (1981-1996),15390,48.218817558041174,26090487.67
NR,Gen Z (1997-2012),5372,16.83115581038318,6781487.359999999
NR,Boomers (1946-1964),2002,6.272519347056428,4485735.8
NR,Nao Informado,24,0.07519503712754959,22322.93
NR,Silent (antes 1946),48,0.15039007425509918,50183.85
NS,Gen X (1965-1980),3324,23.349255408822703,4688054.32
NS,Millennials (1981-1996),7340,51.559426805282385,9536965.46
NS,Gen Z (1997-2012),2896,20.342792919359372,2783642.7399999998
NS,Boomers (1946-1964),636,4.467547063781961,756748.13
NS,Nao Informado,24,0.1685866816521495,13231.32
NS,Silent (antes 1946),16,0.112391121101433,15026.270000000002
