segmento,valor,clientes
Moda,543511.45,571
Beleza e Bem-estar,106649.69,258
Calçados,94018.53,124
Joalheria,80997.05,36
Infantil,55688.65,153
Gastronomia,55521.08,309
Moda Feminina,53845.47,52
Esportes,31663.670000000002,70
Ótica,21329.43,19
Casa e Decoração,20829.47,38
Presentes e Acessórios,16626.1,62
Livrarias,9249.5,79
Eletrônicos,9075.0,6
Papelaria,9036.24,67
Telefonia,8291.0,2
Eletrodomésticos,4065.88,4
Supermercado,3813.56,66
Serviços,2242.39,55
Farmácias,1636.23,21
Calçados Femininos,1572.0,1
