segmento,valor,clientes
Moda,148411.86000000002,283
Gastronomia,64820.98,392
Joalheria,32183.96,12
Calçados,26715.61,86
Beleza e Bem-estar,19365.670000000002,130
Esportes,19200.77,76
Ótica,18089.91,13
Telefonia,15567.0,5
Farmácias,10303.24,93
Casa e Decoração,8868.39,18
Moda Feminina,7935.09,12
Papelaria,7847.36,84
Eletrodomésticos,7296.62,116
Livrarias,6310.92,59
Infantil,6025.05,40
Pets,5940.09,36
Eletrônicos,3976.0,2
Presentes e Acessórios,3498.8,17
Vestuário feminino,1826.4,2
Serviços,1355.65,39
