segmento,valor,clientes
Moda,3442032.5,5092
Casa e Decoração,628682.2,1030
Joalheria,597724.52,436
Beleza e Bem-estar,571773.87,1907
Infantil,464047.98,1326
Calçados,417784.79,1410
Esportes,390903.39,930
Calçados Femininos,324215.18,437
Gastronomia,310882.24,1801
Eletrônicos,213776.14,63
Livrarias,134851.75,750
Farmácias,118522.92,680
Pets,106933.94,596
Ótica,106778.4,165
Presentes e Acessórios,64136.61,167
Papelaria,62333.64,268
Outros,60565.58,196
Hub da Saúde,51522.28,17
Eletrodomésticos,24888.38,290
Serviços,14843.81,473
