loja,valor,clientes
Renner,788727.4,1886
Vivara,486529.61,270
Cassol Centerlar,464916.27,469
Riachuelo,388208.4,1189
C&A,348534.72000000003,1168
Luz da Lua,324215.18,437
Centauro,237869.24000000002,614
Empório Du Homem,224624.58,174
Ri Happy,224542.89,760
Samsung,213776.14,63
Calvin Klein e Tommy Hilfiger,191367.0,279
Fátima Criança,189209.09,544
Pittol,182704.88,642
Békko,155441.95,222
Beagle,149343.48,315
Youcom,145654.82,403
Arezzo,137712.29,302
Livraria Catarinense ,134851.75,750
FATIMA ESPORTES,129273.59,268
Camicado,127711.62,318
