loja,valor,clientes,ranking,shopping,sigla
Havan,4577951.83,7087,1,Norte Shopping,NR
Casas Bahia,2824501.72,1379,2,Norte Shopping,NR
Magazine Luiza,2721123.68,1182,3,Norte Shopping,NR
Pittol,2621591.27,6203,4,Norte Shopping,NR
Atacadão,2492133.0,4407,5,Norte Shopping,NR
Samsung,2067941.34,628,6,Norte Shopping,NR
Renner,2040904.27,4773,7,Norte Shopping,NR
Centauro,1729141.21,3514,8,Norte Shopping,NR
Riachuelo,1680440.21,4494,9,Norte Shopping,NR
CVC,1192819.88,131,10,Norte Shopping,NR
