metrica,valor,shopping
Qtd High Spenders,3064.0,Norte Shopping
Valor Total HS,19028179.88,Norte Shopping
Ticket Medio HS,6210.241475195822,Norte Shopping
Freq Media HS,17.700718015665796,Norte Shopping
Idade Media HS,42.14523498694517,Norte Shopping
% Feminino HS,58.061357702349866,Norte Shopping
% Masculino HS,41.938642297650134,Norte Shopping
