dia_semana,valor,transacoes,pct_valor,shopping
Domingo,9284917.23,31841,21.589839781331058,Norte Shopping
Quarta,4395768.27,15505,10.221300881231311,Norte Shopping
Quinta,4405156.54,15980,10.243131042998288,Norte Shopping
Sabado,8972672.4,30570,20.86378959851764,Norte Shopping
Segunda,5955494.62,20393,13.848069021976524,Norte Shopping
Sexta,5149049.4,18151,11.972874805278023,Norte Shopping
Terca,4842898.62,17894,11.260994868667158,Norte Shopping
