faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),1381,841,0,8
25-39 (Millennials),7486,4934,3,15
40-54 (Gen X),7053,4970,0,9
55-69 (Boomers),1897,1557,0,3
70+ (Silent),230,203,0,1
Nao Informado,13,15,17,0
