quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,9.0,1.0,372.30800000000005,Global
40%,21.0,2.0,674.95,Global
60%,55.0,4.0,1182.7,Global
80%,218.0,7.0,2389.0,Global
