perfil_cliente,qtd_clientes,valor_total,ticket_medio,frequencia_media,pct_clientes,pct_valor
VIP,39513,212109249.18,1122.9680877751973,13.276870903247033,24.22,69.53
Premium,34970,49618530.14,505.5965904773922,4.978524449528167,21.44,16.26
Potencial,39546,28856713.95,370.19207152053445,3.0906792090224045,24.24,9.46
Pontual,49081,14481422.37,204.17141134651794,1.910739389987979,30.09,4.75
