perfil_cliente,qtd_clientes,valor_total,frequencia_media,R_score_medio,F_score_medio,V_score_medio,score_total_medio,ticket_medio,pct_clientes,pct_valor
VIP,28952,147146820.54,17.058372478585245,4.473404255319149,4.751416137054435,4.661543243990052,13.886363636363637,5082.440609975131,17.75,48.23
Premium,42594,87486717.17,5.478940695872658,3.5164577170493496,3.734727895947786,3.6810114100577547,10.93219702305489,2053.968098088933,26.11,28.68
Potencial,50002,52391204.11,2.56253749850006,2.8145874165033398,2.6337346506139756,2.559957601695932,8.008279668813248,1047.7821709131636,30.66,17.17
Pontual,41562,18041173.82,1.427674317886531,1.6674125403012368,1.4676387084355902,1.6740532216928925,4.80910447042972,434.0785770655888,25.48,5.91
