segmento,valor,clientes
Moda,201044.76,304
Joalheria,60448.51,34
Beleza e Bem-estar,55874.62,149
Gastronomia,39406.89,199
Casa e Decoração,27351.67,42
Infantil,25436.260000000002,83
Calçados,24899.27,48
Presentes e Acessórios,17216.87,67
Esportes,17022.97,50
Moda Feminina,15640.699999999999,18
Papelaria,15175.16,83
Eletrônicos,13207.9,5
Livrarias,12121.44,84
Calçados Femininos,5489.0,5
Supermercado,4912.65,58
Ótica,2855.0,5
Eletrodomésticos,2568.9,2
Farmácias,2180.42,29
Serviços,870.28,16
Lazer,284.5,6
