quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,8.0,1.0,218.71200000000002,Continente Shopping
40%,13.0,1.0,299.9,Continente Shopping
60%,19.0,1.0,409.5699999999999,Continente Shopping
80%,24.0,2.0,620.94,Continente Shopping
20%,6.0,1.0,110.302,Neumarkt Shopping
40%,11.0,1.0,255.056,Neumarkt Shopping
60%,17.39999999999999,1.0,588.5059999999992,Neumarkt Shopping
80%,22.200000000000003,2.0,1194.352,Neumarkt Shopping
20%,5.0,1.0,258.5,Balneário Shopping
40%,11.0,1.0,438.5,Balneário Shopping
60%,15.0,1.0,698.25,Balneário Shopping
80%,21.0,2.0,1211.5,Balneário Shopping
20%,7.0,1.0,121.97200000000001,Norte Shopping
40%,11.0,1.0,284.552,Norte Shopping
60%,14.599999999999998,1.0,467.87199999999996,Norte Shopping
80%,20.800000000000004,1.0,998.734,Norte Shopping
20%,10.0,1.0,98.37400000000001,Nações Shopping
40%,13.0,1.0,243.382,Nações Shopping
60%,21.0,1.0,360.972,Nações Shopping
80%,23.0,2.0,529.6800000000001,Nações Shopping
20%,5.0,1.0,85.16000000000001,Garten Shopping
40%,11.0,1.0,238.18400000000005,Garten Shopping
60%,14.0,1.0,573.7199999999996,Garten Shopping
80%,21.0,2.0,1143.768,Garten Shopping
