shopping_principal,qtd_clientes,valor_total,ticket_medio,vip_hist,vip_valor_hist,vip_ticket_hist,premium_hist,premium_valor_hist,premium_ticket_hist,potencial_hist,potencial_valor_hist,potencial_ticket_hist,pontual_hist,pontual_valor_hist,pontual_ticket_hist,vip_periodo,vip_valor_periodo,vip_ticket_periodo,premium_periodo,premium_valor_periodo,premium_ticket_periodo,potencial_periodo,potencial_valor_periodo,potencial_ticket_periodo,pontual_periodo,pontual_valor_periodo,pontual_ticket_periodo,high_spenders,pct_valor
Balneário Shopping,1026,927740.21,619.9831417664532,457,550008.57,744.9261289986454,183,153165.48,606.9456876138433,180,137704.01,595.7725,206,86862.15,375.5405420711974,82,329731.05,2240.072948606272,189,265563.2,885.3851543209876,295,209347.79,583.2311440677967,460,123098.17,245.70813043478262,113,62.8
Continente Shopping,247,208867.34,722.9037301846099,65,125415.62,1741.5798079271156,34,22618.27,406.4340163124073,49,27487.3,402.2951146744412,99,33346.15,321.4476430976431,11,112665.38,9329.353380867498,15,19819.19,660.3219190069191,46,30564.59,544.3093633540373,175,45818.18,234.2358552380952,12,14.14
Garten Shopping,119,172755.99,1032.151449379752,37,124999.71,2248.863018018018,26,22620.89,774.0647435897437,30,18766.76,489.29705873015877,26,6368.63,185.13445054945052,10,119391.82,8518.279,18,25203.010000000002,1048.5538783068782,20,15742.92,430.1787166666666,71,12418.24,143.1787089201878,12,11.69
Neumarkt Shopping,120,119673.34,673.7809825396824,52,75539.12,846.2157838827839,23,22563.45,853.283695652174,22,14641.91,512.4873484848484,23,6928.86,258.7065424430642,13,66196.56999999999,3383.370897435898,16,23965.6,874.0320833333333,22,16993.74,589.3358138528139,69,12517.43,143.7680434782609,18,8.1
Norte Shopping,42,29417.81,604.8754365079365,11,8648.59,441.3640303030303,5,7104.49,1420.898,10,7487.84,748.784,16,6176.89,372.339625,5,14301.04,2429.2690000000002,2,2433.9,1216.95,7,6296.3,752.9971428571428,28,6386.57,198.34083333333334,5,1.99
Nações Shopping,48,18761.27,355.0864583333334,4,2911.82,727.955,11,4775.37,407.9418181818182,8,3572.36,380.655625,25,7501.72,263.98900000000003,1,2295.88,2295.88,2,3077.1800000000003,1538.5900000000001,8,5014.66,589.335,37,8373.55,188.01108108108107,1,1.27
