quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,4.0,1.0,111.7,Continente Shopping
40%,8.0,3.0,263.97,Continente Shopping
60%,15.0,4.0,516.26,Continente Shopping
80%,22.0,8.0,1026.55,Continente Shopping
20%,4.0,1.0,160.05,Garten Shopping
40%,9.0,3.0,347.79,Garten Shopping
60%,16.0,4.0,621.34,Garten Shopping
80%,21.0,7.0,1248.8600000000001,Garten Shopping
20%,3.8000000000000114,1.0,186.348,Neumarkt Shopping
40%,9.0,2.0,385.53000000000003,Neumarkt Shopping
60%,16.399999999999977,4.0,658.4200000000001,Neumarkt Shopping
80%,23.0,7.0,1263.4740000000002,Neumarkt Shopping
20%,5.0,1.0,165.792,Norte Shopping
40%,12.0,2.0,359.918,Norte Shopping
60%,18.0,4.0,575.464,Norte Shopping
80%,23.0,6.0,1054.9740000000013,Norte Shopping
20%,5.0,1.0,116.76,Nações Shopping
40%,12.0,2.0,261.58000000000004,Nações Shopping
60%,19.0,3.0,453.832,Nações Shopping
80%,23.0,6.0,951.8660000000002,Nações Shopping
20%,4.0,1.0,173.00000000000009,Balneário Shopping
40%,9.0,2.0,402.6640000000001,Balneário Shopping
60%,17.0,3.0,762.708,Balneário Shopping
80%,22.0,6.0,1641.8220000000001,Balneário Shopping
