dia_semana,valor,transacoes
Domingo,961401.39,3349
Quarta,260868.51,887
Quinta,329391.53,1244
Sabado,655302.01,2329
Segunda,350005.41000000003,1143
Sexta,407686.7,1382
Terca,252896.86000000002,923
