segmento,valor,clientes
Eletrodomésticos,507574.03,543
Moda,506706.48,1004
Casa e Decoração,433619.42,690
Calçados,275657.71,738
Beleza e Bem-estar,267116.88,739
Supermercado,188331.7,509
Telefonia,172406.79,117
Eletrônicos,155255.58,114
Esportes,149844.92,302
Gastronomia,141550.72,1022
Joalheria,81572.89,82
Presentes e Acessórios,55845.52,337
Ótica,53985.85,61
Infantil,44244.76,174
Serviços,38862.9,248
Pets,37299.2,237
Outros,29741.0,12
Livrarias,22112.71,175
Papelaria,18705.57,152
Fast Food,10224.49,128
