segmento,valor,clientes
Moda,1107456.96,1396
Joalheria,304049.51,160
Ótica,235044.77,120
Beleza e Bem-estar,199886.13,493
Gastronomia,190054.46,852
Calçados,186165.3,408
Casa e Decoração,151682.59,485
Esportes,129927.74,318
Eletrônicos,120717.74,70
Moda Feminina,119009.17,110
Telefonia,115579.76,37
Presentes e Acessórios,108815.58,209
Eletrodomésticos,76877.8,286
Livrarias,46167.4,298
Infantil,44959.94,170
Papelaria,38371.87,259
Pets,34300.71,170
Serviços,30913.89,467
Farmácias,30339.54,211
Lazer,3357.07,53
