faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),249,110,0,2
25-39 (Millennials),1551,656,3,5
40-54 (Gen X),1313,571,0,1
55-69 (Boomers),230,114,0,0
70+ (Silent),21,18,0,0
Nao Informado,6,4,0,0
