segmento,valor,clientes
Moda,1318458.15,1631
Eletrônicos,329018.0,86
Joalheria,272259.63,147
Gastronomia,256134.6,870
Casa e Decoração,216947.23,394
Calçados Femininos,199772.27,209
Esportes,184160.71,341
Calçados,174337.08,347
Beleza e Bem-estar,167186.71,540
Presentes e Acessórios,71487.17,118
Infantil,62978.49,211
Pets,61504.96,306
Ótica,33747.42,29
Livrarias,32254.96,196
Farmácias,15554.64,126
Papelaria,15398.49,86
Eletrodomésticos,12074.08,121
Outros,11407.26,35
Serviços,6543.0,364
Lazer,1004.71,14
