segmento,valor,clientes
Moda,14072754.82,16307
Joalheria,4483182.31,1987
Calçados,2594823.37,6248
Esportes,2151909.32,4539
Gastronomia,1859024.32,7993
Beleza e Bem-estar,1754739.27,4080
Casa e Decoração,1628109.71,4159
Serviços,1408888.31,1554
Telefonia,1315838.63,463
Presentes e Acessórios,1291011.12,4673
Infantil,1064908.97,3344
Ótica,1009330.93,1134
Eletrônicos,823046.88,677
Moda Feminina,704819.04,753
Farmácias,571730.94,2448
Eletrodomésticos,447099.86,228
Livrarias,354109.41,2448
Papelaria,304837.22,1835
Pets,191476.41,1197
Kids,43418.92,418
