dia_semana,valor,transacoes
Domingo,3737762.99,11573
Quarta,1715026.82,5592
Quinta,1747060.01,5980
Sabado,3984820.78,11930
Segunda,2515948.51,7926
Sexta,1911165.17,6284
Terca,1874935.29,6316
