faixa_etaria,qtd_clientes,valor_total,pct_clientes
Boomers (1946-1964),1778,3107112.74,7.008830022075055
Gen X (1965-1980),7603,12923875.88,29.970829391359192
Gen Z (1997-2012),3628,4012125.29,14.301482182276883
Millennials (1981-1996),12301,17974519.03,48.49022390413119
Nao Informado,4,1058.27,0.015767896562598548
Silent (antes 1946),54,110170.34,0.21286660359508044
