segmento,valor,clientes
Moda,690175.33,752
Joalheria,276832.52999999997,99
Beleza e Bem-estar,188263.86,361
Calçados,122291.83,182
Moda Feminina,111516.3,82
Gastronomia,68481.27,418
Esportes,65883.85,145
Infantil,58626.96,173
Ótica,34872.14,25
Casa e Decoração,27494.77,55
Presentes e Acessórios,25743.73,80
Eletrônicos,25260.56,19
Telefonia,16024.0,2
Livrarias,10843.52,87
Papelaria,10014.58,68
Calçados Femininos,7660.0,4
Supermercado,4937.27,61
Eletrodomésticos,2584.95,4
Farmácias,2138.58,22
Suplementos esportivos,1078.89,3
