quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,4.0,1.0,152.27000000000004,Garten Shopping
40%,10.0,3.0,336.65200000000004,Garten Shopping
60%,15.0,4.0,584.8760000000001,Garten Shopping
80%,20.0,7.0,1094.2980000000002,Garten Shopping
20%,3.0,1.8000000000000114,149.64000000000001,Neumarkt Shopping
40%,7.0,3.0,351.17,Neumarkt Shopping
60%,12.399999999999977,4.0,683.352,Neumarkt Shopping
80%,19.0,8.0,1232.2600000000011,Neumarkt Shopping
20%,14.0,1.0,189.056,Nações Shopping
40%,26.0,2.0,504.7680000000001,Nações Shopping
60%,26.0,3.0,739.68,Nações Shopping
80%,28.0,5.0,1208.7360000000003,Nações Shopping
20%,3.0,2.0,149.56800000000004,Continente Shopping
40%,6.0,3.0,315.2700000000001,Continente Shopping
60%,12.0,5.0,575.168,Continente Shopping
80%,19.0,8.0,1029.0960000000002,Continente Shopping
20%,3.0,1.0,245.27200000000008,Balneário Shopping
40%,6.0,3.0,577.57,Balneário Shopping
60%,12.0,4.0,996.5379999999998,Balneário Shopping
80%,19.0,8.0,2054.2500000000005,Balneário Shopping
20%,18.0,1.0,329.98,Norte Shopping
40%,19.0,1.0,429.58000000000004,Norte Shopping
60%,23.0,2.0,634.162,Norte Shopping
80%,26.0,3.0,904.84,Norte Shopping
