quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,7.0,1.0,257.97200000000004,Global
40%,18.0,2.0,420.974,Global
60%,21.0,3.0,666.498,Global
80%,26.0,5.0,1079.928,Global
