segmento,valor,clientes
Moda,1951883.99,3924
Eletrodomésticos,1532949.27,1663
Casa e Decoração,1454438.04,2510
Calçados,1053438.75,2868
Beleza e Bem-estar,1029426.73,3031
Eletrônicos,662995.44,415
Supermercado,636538.33,1501
Gastronomia,634114.5,3345
Esportes,574874.54,1268
Telefonia,546857.78,360
Infantil,355446.31,1056
Joalheria,355113.84,330
Presentes e Acessórios,261488.62,1384
Serviços,222673.63,732
Ótica,170834.1,227
Pets,136651.23,778
Livrarias,119530.31,773
Outros,76006.0,35
Papelaria,44006.49,361
Fast Food,32150.02,352
