loja,valor,clientes
Renner,3131438.97,6628
Nike Unite,2573279.14,4279
Vivara,2536891.49,761
C&A,2022199.84,4938
Centauro,1821346.69,3721
Magazine Luiza,1634010.51,709
Riachuelo,1566947.37,4222
Decathlon,1106213.11,3402
Empório Du Homem,998725.49,940
Vivo,985800.97,170
Óticas Carol,944571.34,495
Claro,928758.36,216
Arezzo,778310.17,1306
Carioca Calçados,770786.1900000001,1780
Brooksfield,690110.5700000001,506
Clifield,651436.7,866
Ri Happy Baby,621532.46,2112
IDELI.OUI,604695.08,1068
Samsung,570808.97,130
Hering Store,566925.17,1609
